,author_id,created_at,edit_history_tweet_ids,id_x,lang,public_metrics,text,username,imp_count,like_count,retweet_count
27,335455570,2023-07-27 09:40:23+00:00,[1684498961090969600],1684498961090969600,en,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4538}",Barclays signals profit squeeze as customers take action https://t.co/GNBNmc8i5o https://t.co/5fbF4UlUfm,ReutersWorld,4538,2,1
28,335455570,2023-07-27 09:31:00+00:00,[1684496599517388800],1684496599517388800,en,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 12, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 5287}",North Korea's Kim shows off banned missiles to Russian minister https://t.co/giOhZc8CJu https://t.co/HXlWGfhO8m,ReutersWorld,5287,12,5
29,335455570,2023-07-27 08:40:20+00:00,[1684483849927925761],1684483849927925761,en,"{'retweet_count': 8, 'reply_count': 5, 'like_count': 10, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 5410}","Insight: Obscure traders ship half Russia's oil exports to India, China after sanctions https://t.co/8eTryFXKcY https://t.co/69quK3GnRX",ReutersWorld,5410,10,8
30,335455570,2023-07-27 08:30:50+00:00,[1684481456582664192],1684481456582664192,en,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 6, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4413}","Powerful typhoon Doksuri lashes Philippines, threatens Taiwan and China https://t.co/cndRXWEPNT https://t.co/MMzhxxP2bP",ReutersWorld,4413,6,5
31,335455570,2023-07-27 07:40:16+00:00,[1684468734155522048],1684468734155522048,en,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4316}","India's Jio Financial Services, BlackRock to launch asset management venture https://t.co/trogq87zhB https://t.co/wYDyvcYONy",ReutersWorld,4316,3,2
32,335455570,2023-07-27 07:30:29+00:00,[1684466269603385344],1684466269603385344,en,"{'retweet_count': 16, 'reply_count': 4, 'like_count': 49, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 8766}",Iranian chess player who removed hijab gets Spanish citizenship https://t.co/J0rFj6RL3w https://t.co/QlZXsuZHV9,ReutersWorld,8766,49,16
33,335455570,2023-07-27 06:40:45+00:00,[1684453753011707905],1684453753011707905,en,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5085}","Typhoon Doksuri shuts businesses, grounds flights in Taiwan https://t.co/HFwMa7uptU https://t.co/cr2Wm9gorD",ReutersWorld,5085,3,5
34,335455570,2023-07-27 06:35:30+00:00,[1684452435266359296],1684452435266359296,en,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4613}",Crypto bill passes congressional committee in victory for industry https://t.co/CkmdhB52Mc https://t.co/oK8PvlPtaR,ReutersWorld,4613,5,4
35,335455570,2023-07-27 05:40:23+00:00,[1684438565235687426],1684438565235687426,en,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 5351}",Investors dumping China load up on other emerging markets https://t.co/gml2wckm3r https://t.co/9XX41FgEi8,ReutersWorld,5351,5,3
36,335455570,2023-07-27 05:30:38+00:00,[1684436108237578241],1684436108237578241,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5087}",US commerce chief says China export controls will hit companies' revenue https://t.co/mCh6BZ4ii4 https://t.co/xRHXJMsySA,ReutersWorld,5087,1,0
37,335455570,2023-07-27 04:40:19+00:00,[1684423445172441089],1684423445172441089,en,"{'retweet_count': 12, 'reply_count': 3, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6602}",North Korea's Kim shows off banned missiles to Russian minister https://t.co/qmw4C7EJOv https://t.co/3IDmyotOT1,ReutersWorld,6602,12,12
38,335455570,2023-07-27 04:30:41+00:00,[1684421022798286849],1684421022798286849,en,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 16, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 6887}","Sinead O'Connor, singer of 'Nothing Compares 2 U,' dead at 56 https://t.co/ueJZ1wCuB1 https://t.co/fGmN9OXnyY",ReutersWorld,6887,16,2
39,335455570,2023-07-27 03:40:21+00:00,[1684408354678927360],1684408354678927360,en,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 5, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 5277}",Three dead as Sicily counts losses from 'devastating' fires https://t.co/eEw8kuCfoz https://t.co/ArbXVR2rxa,ReutersWorld,5277,5,5
40,335455570,2023-07-27 03:30:37+00:00,[1684405905402613765],1684405905402613765,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4972}","United Airlines details temporary Newark, New Jersey airport flight cuts https://t.co/HErEiPSGq9 https://t.co/kRJOPfaPBa",ReutersWorld,4972,3,0
