,Date,banks_positive,banks_neutral,banks_negative,fin_positive,fin_neutral,fin_negative,count_banks,count_fin,dollar,sp500,dollar_diff,sp500_diff
41,2022-02-11,0.1450213976204395,0.8202843368053436,0.034694234374910524,,,,4,0,114.8568,4418.64,0.2857000000000056,-85.4399999999996
44,2022-02-14,0.4264866709709167,0.5368186831474304,0.0366946719586849,0.28271177038550377,0.6406904608011246,0.07659777812659735,1,4,115.2012,4401.67,0.34439999999999316,-16.970000000000255
45,2022-02-15,0.14297134056687355,0.8137727550097874,0.04325589298137591,,,,7,0,114.9348,4471.07,-0.2664000000000044,69.39999999999964
46,2022-02-16,0.174287524074316,0.737559586763382,0.08815290499478576,0.3727912575006485,0.3553155943751335,0.2718931337818503,2,5,114.6971,4475.01,-0.2376999999999896,3.9400000000005093
47,2022-02-17,0.15505592711269853,0.7835076004266739,0.06143646687269207,0.13940062969923014,0.7960029482841492,0.06459640935063357,4,5,114.6867,4380.26,-0.010400000000004184,-94.75
48,2022-02-18,,,,0.0361838564276695,0.5641763210296631,0.3996398448944092,0,1,114.8057,4348.87,0.11899999999999977,-31.390000000000327
52,2022-02-22,0.13750777114182708,0.7904820442199707,0.07201020652428265,0.17297026515007013,0.5114223957061768,0.3156073875725269,4,2,114.7172,4304.76,-0.08849999999999625,-44.10999999999967
53,2022-02-23,,,,0.0647839698940515,0.5597590655088425,0.3754569729790091,0,2,114.6853,4225.5,-0.03190000000000737,-79.26000000000022
54,2022-02-24,0.14520331223805738,0.7670344710350037,0.08776221610605713,,,,6,0,115.9586,4288.7,1.273300000000006,63.19999999999982
55,2022-02-25,0.14682174474000925,0.81423952182134,0.03893874916765419,,,,9,0,115.2742,4384.65,-0.6844000000000108,95.94999999999982
58,2022-02-28,0.12115188840438015,0.8399534279649908,0.03889468396929172,0.13437639673550916,0.769941528638204,0.09568202619751287,11,3,115.2931,4373.94,0.018900000000002137,-10.710000000000036
59,2022-03-01,0.0508938618004322,0.6780107617378235,0.2710954546928406,0.1161942034959793,0.8601406812667847,0.0236650817096233,1,1,115.8831,4306.26,0.5900000000000034,-67.67999999999938
60,2022-03-02,0.19545921497046945,0.7685836255550385,0.035957182447115536,0.21884701081684657,0.5935275001185281,0.1876254794853074,6,7,115.8281,4386.54,-0.05499999999999261,80.27999999999975
61,2022-03-03,0.25045355409383774,0.7236784398555756,0.0258680507540702,0.22408402971923352,0.5610772982239723,0.2148386519402265,2,5,116.0198,4363.49,0.19169999999999732,-23.050000000000182
62,2022-03-04,0.10626401975750921,0.8456204056739807,0.04811554066836826,0.16018175583092437,0.5085197699166113,0.33129847488336023,5,31,116.7299,4328.87,0.7100999999999971,-34.61999999999989
65,2022-03-07,0.1495272913439707,0.7753601345148954,0.07511257422579956,0.26135829587777454,0.6687095575034618,0.06993212581922605,11,6,117.4591,4201.09,0.7292000000000058,-127.77999999999975
66,2022-03-08,0.1651063213745753,0.8107765316963196,0.02411717921495433,0.1843200623989105,0.7967979907989502,0.0188818871974945,3,1,117.7,4170.7,0.24089999999999634,-30.390000000000327
67,2022-03-09,0.1086305665473143,0.6182703276475271,0.2730990902831157,0.3054466222723325,0.5522158344586691,0.1423375404750307,3,6,116.7173,4277.88,-0.9827000000000083,107.18000000000029
68,2022-03-10,0.08403628319501873,0.8886621197064718,0.027301594614982567,0.27909576892852783,0.5755208507180214,0.14538338469962275,3,6,116.8532,4259.52,0.13590000000000657,-18.359999999999673
69,2022-03-11,,,,0.1528100371360778,0.81709885597229,0.0300911050289869,0,1,117.1274,4204.31,0.27419999999999334,-55.210000000000036
