,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
45,2022-09-06,124.6871,3908.19,0.995199999999997,-16.070000000000164,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
46,2022-09-07,124.7649,3979.87,0.07779999999999632,71.67999999999984,,,,0,0.7787799040476481,0.16589471449454626,0.05532540753483772,3,,,,0.010282205017312881,0.007239300391304066,0.001666362048036038,0,0,1,0,0,0,0,1,0,0
47,2022-09-08,124.5036,4006.18,-0.26129999999999143,26.309999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
48,2022-09-09,123.7185,4067.36,-0.7850999999999999,61.18000000000029,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
49,2022-09-12,123.28,4110.41,-0.4385000000000048,43.04999999999973,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
50,2022-09-13,124.3481,3932.69,1.0681000000000012,-177.7199999999998,,,,0,0.8876310586929321,0.08212753385305405,0.030241427943110466,1,,,,,,,0,0,1,0,0,0,0,1,0,0
51,2022-09-14,124.3788,3946.01,0.030699999999995953,13.320000000000164,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
52,2022-09-15,124.8118,3901.35,0.43300000000000693,-44.66000000000031,,,,0,0.09819418026341332,0.3226141101784176,0.579191717836592,9,,,,0.018796903899144818,0.0666478913438562,0.12580192515702576,0,0,0,1,0,0,0,0,0,1
53,2022-09-16,124.8039,3873.33,-0.007900000000006457,-28.019999999999982,,,,0,0.06598557531833649,0.9065267443656921,0.027487657964229584,1,,,,,,,0,0,0,0,0,0,0,0,1,0
54,2022-09-19,124.9384,3899.89,0.13450000000000273,26.559999999999945,,,,0,0.4407425820827484,0.37867066264152527,0.18058675527572632,1,,,,,,,0,0,1,0,0,0,0,1,0,0
55,2022-09-20,125.0583,3855.93,0.11990000000000123,-43.960000000000036,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
56,2022-09-21,125.6664,3789.93,0.6080999999999932,-66.0,,,,0,0.6249162554740906,0.36162304878234863,0.013460730202496052,1,,,,,,,0,0,1,0,0,0,0,1,0,0
57,2022-09-22,126.0729,3757.99,0.4065000000000083,-31.940000000000055,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
58,2022-09-23,127.169,3693.23,1.0960999999999927,-64.75999999999976,,,,0,0.25959262251853943,0.5326526165008545,0.20775474607944489,1,,,,,,,0,0,1,0,0,0,0,0,1,0
59,2022-09-26,128.3196,3655.04,1.1506000000000114,-38.190000000000055,,,,0,0.0919749066233635,0.22505134344100952,0.6829738020896912,1,,,,,,,0,0,0,1,0,0,0,0,0,1
60,2022-09-27,128.3198,3647.29,0.0001999999999782176,-7.75,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
61,2022-09-28,127.9785,3719.04,-0.3412999999999897,71.75,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
62,2022-09-29,127.4238,3640.47,-0.5546999999999969,-78.57000000000016,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
63,2022-09-30,127.4039,3585.62,-0.019900000000006912,-54.84999999999991,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
64,2022-10-03,126.977,3678.43,-0.4268999999999892,92.80999999999995,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
65,2022-10-04,126.1065,3790.93,-0.8705000000000069,112.5,,,,0,0.044733308255672455,0.8597801923751831,0.09548645466566086,1,,,,,,,0,0,0,0,0,0,0,0,1,0
66,2022-10-05,126.7759,3783.28,0.669399999999996,-7.649999999999636,,,,0,0.2966761589050293,0.623895525932312,0.0794282853603363,1,,,,,,,0,0,1,0,0,0,0,0,1,0
67,2022-10-06,127.1507,3744.52,0.37480000000000757,-38.76000000000022,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
68,2022-10-07,127.215,3639.66,0.06430000000000291,-104.86000000000013,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
69,2022-10-11,127.5866,3588.84,0.3716000000000008,-50.81999999999971,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
70,2022-10-12,128.0611,3577.03,0.47450000000000614,-11.809999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
71,2022-10-13,127.6538,3669.91,-0.40730000000000643,92.87999999999965,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
72,2022-10-14,128.2418,3583.07,0.5880000000000081,-86.83999999999969,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
73,2022-10-17,127.578,3677.95,-0.663800000000009,94.87999999999965,,,,0,0.0479297935962677,0.8827968239784241,0.06927333772182465,1,,,,,,,0,0,0,0,0,0,0,0,1,0
74,2022-10-18,127.843,3719.98,0.26500000000000057,42.0300000000002,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
75,2022-10-19,128.3211,3695.16,0.47809999999999775,-24.820000000000164,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
