"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","TUR","Türkiye","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,18.60894,,
"CCUS","Currency exchange rates, monthly average","TUR","Türkiye","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,18.65734,,
"CCUS","Currency exchange rates, monthly average","GBR","United Kingdom","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,0.883185,,
"CCUS","Currency exchange rates, monthly average","GBR","United Kingdom","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,0.8843591,,
"CCUS","Currency exchange rates, monthly average","GBR","United Kingdom","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,0.8518927,,
"CCUS","Currency exchange rates, monthly average","GBR","United Kingdom","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,0.8218241,,
"CCUS","Currency exchange rates, monthly average","BRA","Brazil","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,5.236357,,
"CCUS","Currency exchange rates, monthly average","BRA","Brazil","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,5.249695,,
"CCUS","Currency exchange rates, monthly average","BRA","Brazil","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,5.274055,,
"CCUS","Currency exchange rates, monthly average","BRA","Brazil","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,5.241832,,
"CCUS","Currency exchange rates, monthly average","CHL","Chile","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,924.6439,,
"CCUS","Currency exchange rates, monthly average","CHL","Chile","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,953.2957,,
"CCUS","Currency exchange rates, monthly average","CHL","Chile","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,915.3527,,
"CCUS","Currency exchange rates, monthly average","CHL","Chile","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,872.4405,,
"CCUS","Currency exchange rates, monthly average","CHN","China (People's Republic of)","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,7.03022,,
"CCUS","Currency exchange rates, monthly average","CHN","China (People's Republic of)","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,7.225113,,
"CCUS","Currency exchange rates, monthly average","CHN","China (People's Republic of)","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,7.18082,,
"CCUS","Currency exchange rates, monthly average","CHN","China (People's Republic of)","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,6.982929,,
"CCUS","Currency exchange rates, monthly average","IND","India","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,80.23155,,
