Date,Open,High,Low,Close,Adj Close,Volume
2022-03-23,22086.300781,22100.599609,21932.199219,21932.199219,21932.199219,280579000
2022-03-24,22011.300781,22018.000000,21871.500000,21937.900391,21937.900391,243935500
2022-03-25,21947.800781,22019.599609,21900.000000,22005.900391,22005.900391,255481600
2022-03-28,21949.800781,21993.699219,21871.599609,21977.800781,21977.800781,219945400
2022-03-29,21968.199219,22108.300781,21908.400391,22087.199219,22087.199219,278078400
2022-03-30,22068.500000,22109.199219,22016.500000,22076.000000,22076.000000,242508000
2022-03-31,22109.699219,22181.800781,21890.199219,21890.199219,21890.199219,266132700
2022-04-01,21970.800781,22031.699219,21840.199219,21953.000000,21953.000000,250073700
2022-04-04,21979.400391,22089.800781,21942.599609,22085.599609,22085.599609,279845500
2022-04-05,22060.199219,22213.099609,21916.599609,21930.800781,21930.800781,269794200
2022-04-06,21860.000000,21894.500000,21702.099609,21788.599609,21788.599609,233714500
2022-04-07,21792.300781,21851.599609,21635.300781,21834.900391,21834.900391,232258500
2022-04-08,21876.800781,21953.000000,21824.300781,21874.400391,21874.400391,203320500
2022-04-11,21873.800781,21889.699219,21737.500000,21790.500000,21790.500000,289444800
2022-04-12,21897.900391,21948.599609,21701.000000,21715.400391,21715.400391,252644300
2022-04-13,21780.099609,21888.800781,21739.500000,21838.000000,21838.000000,211304100
2022-04-14,21862.199219,21935.500000,21843.000000,21855.699219,21855.699219,231678300
2022-04-18,21866.900391,21972.099609,21847.599609,21878.400391,21878.400391,228308100
2022-04-19,21853.000000,22035.699219,21820.800781,22018.800781,22018.800781,204365100
2022-04-20,22012.500000,22062.599609,21934.000000,21998.400391,21998.400391,218905100
2022-04-21,22088.099609,22088.099609,21613.199219,21650.400391,21650.400391,258689400
2022-04-22,21593.900391,21593.900391,21169.300781,21186.400391,21186.400391,287668700
2022-04-25,20985.500000,21074.699219,20672.599609,21011.900391,21011.900391,317526500
2022-04-26,21021.199219,21021.199219,20690.800781,20690.800781,20690.800781,256416900
2022-04-27,20747.199219,20855.500000,20619.300781,20744.199219,20744.199219,234351800
2022-04-28,20899.900391,21206.500000,20817.900391,21121.099609,21121.099609,280966100
2022-04-29,21036.199219,21168.800781,20753.900391,20762.000000,20762.000000,287081200
2022-05-02,20707.699219,20758.099609,20456.800781,20692.199219,20692.199219,253789500
2022-05-03,20726.500000,21030.699219,20724.300781,20905.300781,20905.300781,249853500
2022-05-04,20973.000000,21212.900391,20798.800781,21185.000000,21185.000000,300983500
2022-05-05,21120.699219,21120.699219,20550.599609,20696.199219,20696.199219,284578000
2022-05-06,20664.500000,20729.300781,20416.400391,20633.300781,20633.300781,274933100
2022-05-09,20392.400391,20392.400391,19955.800781,19999.699219,19999.699219,340770200
2022-05-10,20166.199219,20253.300781,19736.699219,19890.099609,19890.099609,361166500
2022-05-11,19922.800781,20189.400391,19792.800781,19837.300781,19837.300781,324385300
2022-05-12,19681.300781,19809.000000,19480.000000,19699.099609,19699.099609,320281000
2022-05-13,19871.900391,20196.599609,19871.900391,20099.800781,20099.800781,294638400
2022-05-16,20116.000000,20309.199219,20064.800781,20206.400391,20206.400391,310724000
2022-05-17,20440.800781,20514.599609,20330.500000,20491.000000,20491.000000,278816000
2022-05-18,20424.000000,20424.000000,20040.500000,20101.400391,20101.400391,256316600
2022-05-19,19927.099609,20336.099609,19907.300781,20181.900391,20181.900391,259832400
2022-05-20,20335.699219,20359.800781,19937.300781,20197.599609,20197.599609,221995700
2022-05-24,20333.400391,20337.300781,20146.900391,20286.199219,20286.199219,304125000
2022-05-25,20295.199219,20452.500000,20290.699219,20383.800781,20383.800781,240858200
2022-05-26,20454.099609,20624.699219,20448.699219,20532.199219,20532.199219,267121500
2022-05-27,20587.099609,20777.599609,20581.699219,20748.599609,20748.599609,267596300
2022-05-30,20835.599609,20940.099609,20817.500000,20919.400391,20919.400391,122884600
2022-05-31,20830.500000,20875.900391,20697.599609,20729.300781,20729.300781,588164500
2022-06-01,20816.699219,20866.400391,20610.199219,20713.699219,20713.699219,268211700
2022-06-02,20713.599609,21036.400391,20713.599609,21031.800781,21031.800781,244190000
2022-06-03,20915.199219,20931.500000,20753.500000,20790.699219,20790.699219,206023800
2022-06-06,20912.900391,20931.900391,20796.099609,20819.099609,20819.099609,279744600
2022-06-07,20730.699219,20928.199219,20695.900391,20928.199219,20928.199219,263549000
2022-06-08,20879.500000,20919.300781,20712.000000,20792.400391,20792.400391,266654500
2022-06-09,20718.400391,20771.699219,20563.900391,20563.900391,20563.900391,239596000
2022-06-10,20390.300781,20390.300781,20196.199219,20274.800781,20274.800781,283280000
2022-06-13,19943.400391,19943.400391,19602.900391,19742.599609,19742.599609,340413100
2022-06-14,19844.300781,19844.300781,19435.000000,19548.500000,19548.500000,316000900
2022-06-15,19665.400391,19743.400391,19383.699219,19611.599609,19611.599609,281533900
2022-06-16,19284.000000,19320.699219,18952.699219,19004.099609,19004.099609,284709200
2022-06-17,19067.400391,19194.000000,18787.699219,18930.500000,18930.500000,579457700
2022-06-20,18967.699219,19186.500000,18967.699219,19183.599609,19183.599609,126178800
2022-06-21,19248.199219,19385.500000,19239.400391,19257.300781,19257.300781,275427300
2022-06-22,18947.099609,19142.800781,18871.699219,19004.000000,19004.000000,283616600
2022-06-23,19033.099609,19067.000000,18661.500000,18717.099609,18717.099609,312412300
2022-06-24,18831.699219,19100.699219,18828.900391,19062.900391,19062.900391,262852600
2022-06-27,19168.699219,19294.199219,19068.000000,19258.300781,19258.300781,321214400
2022-06-28,19406.500000,19500.900391,19160.199219,19222.699219,19222.699219,275264400
2022-06-29,19274.300781,19274.300781,19010.400391,19078.599609,19078.599609,215310300
2022-06-30,18848.699219,18898.699219,18665.300781,18861.400391,18861.400391,272836300
2022-07-04,18951.199219,19129.699219,18946.500000,19028.900391,19028.900391,122906700
2022-07-05,18877.199219,18911.099609,18520.400391,18834.199219,18834.199219,338113600
2022-07-06,18795.699219,18872.099609,18543.900391,18729.699219,18729.699219,317959800
2022-07-07,18871.300781,19085.500000,18871.300781,19063.199219,19063.199219,251534300
2022-07-08,19063.099609,19100.099609,18897.699219,19022.900391,19022.900391,197640400
2022-07-11,18905.300781,18955.400391,18785.800781,18816.800781,18816.800781,225897100
2022-07-12,18712.300781,18798.300781,18619.500000,18678.599609,18678.599609,232305400
2022-07-13,18517.500000,18691.900391,18378.800781,18615.199219,18615.199219,227053400
2022-07-14,18448.099609,18466.800781,18169.900391,18329.099609,18329.099609,340294700
2022-07-15,18491.000000,18500.099609,18311.599609,18394.500000,18394.500000,205985000
2022-07-18,18582.500000,18733.599609,18560.099609,18595.599609,18595.599609,270479500
2022-07-19,18723.099609,18944.099609,18716.900391,18937.699219,18937.699219,231296300
2022-07-20,18912.400391,19056.400391,18845.199219,19020.699219,19020.699219,197328500
2022-07-21,18954.000000,19064.900391,18870.800781,19062.900391,19062.900391,214889000
2022-07-22,19085.699219,19141.699219,18911.900391,18982.900391,18982.900391,180504600
2022-07-25,19010.300781,19119.000000,18971.500000,19104.500000,19104.500000,219076800
2022-07-26,19070.699219,19110.500000,18923.400391,18972.699219,18972.699219,209670300
2022-07-27,19056.900391,19315.500000,19056.900391,19254.599609,19254.599609,230203700
2022-07-28,19353.500000,19472.699219,19182.400391,19456.699219,19456.699219,251616900
2022-07-29,19539.900391,19734.000000,19539.900391,19692.900391,19692.900391,252031900
2022-08-02,19568.900391,19673.500000,19486.699219,19505.300781,19505.300781,270793400
2022-08-03,19616.099609,19616.099609,19485.000000,19545.900391,19545.900391,220501000
2022-08-04,19573.099609,19619.099609,19538.099609,19577.000000,19577.000000,250540000
2022-08-05,19471.300781,19620.099609,19443.300781,19620.099609,19620.099609,238711500
2022-08-08,19666.900391,19768.000000,19661.800781,19669.199219,19669.199219,243324500
2022-08-09,19693.599609,19699.800781,19540.199219,19578.300781,19578.300781,216384000
2022-08-10,19743.599609,19911.000000,19716.300781,19885.900391,19885.900391,264927000
2022-08-11,20014.199219,20100.599609,19961.099609,19991.900391,19991.900391,268131000
2022-08-12,20051.400391,20188.599609,20021.300781,20179.800781,20179.800781,230349300
2022-08-15,20061.400391,20199.199219,20023.099609,20180.599609,20180.599609,272053600
